"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","Enrolment","Public_Private"
"5301","2015-2016","666081","Hope Academy","Elementary",14,5,NA,NA,14,5,19,"Private"
"5302","2015-2016","884793","Hope Reformed Christian School","Elem/Sec",35,29,5,14,NA,43,83,"Private"
"5303","2015-2016","883750","Horizons Secondary School","Secondary",NA,NA,5,5,5,5,10,"Private"
"5304","2015-2016","878227","Howick Maples Parochial School","Elementary",27,33,NA,NA,27,33,60,"Private"
"5305","2015-2016","665703","Howlett Academy","Elementary",30,22,NA,NA,30,22,52,"Private"
"5306","2015-2016","879258","Huamei-Bond International College","Secondary",NA,NA,123,78,123,78,201,"Private"
"5307","2015-2016","666661","Hudson College","Elem/Sec",81,61,63,46,144,107,251,"Private"
"5308","2015-2016","875996","Humberside Montessori School","Elementary",140,129,NA,NA,140,129,269,"Private"
"5309","2015-2016","887589","Hummingbird Montessori School","Elementary",12,16,NA,NA,12,16,28,"Private"
"5310","2015-2016","885304","Huron Christian School","Elementary",65,80,NA,NA,65,80,145,"Private"
"5311","2015-2016","885212","Huron Hills Parochial School","Elementary",10,14,NA,NA,10,14,24,"Private"
"5312","2015-2016","888839","IQRA Academy","Secondary",NA,NA,40,14,40,14,54,"Private"
"5313","2015-2016","878049","IQRA Islamic School","Elementary",104,95,NA,NA,104,95,199,"Private"
"5314","2015-2016","667586","ISM Elementary School","Elementary",17,45,NA,NA,17,45,62,"Private"
"5315","2015-2016","665401","ISNA High School","Secondary",NA,NA,109,107,109,107,216,"Private"
"5316","2015-2016","882925","ISNA Islamic School","Elementary",191,188,NA,NA,191,188,379,"Private"
"5317","2015-2016","885070","Immanuel Christian School","Elementary",64,62,NA,NA,64,62,126,"Private"
"5318","2015-2016","885940","Immanuel Christian School","Elementary",34,24,NA,NA,34,24,58,"Private"
"5319","2015-2016","881662","Immigrants Working Centre - IWC Academy","Secondary",NA,NA,5,10,5,10,15,"Private"
"5320","2015-2016","884979","Imperial College of Toronto","Secondary",NA,NA,51,23,51,23,74,"Private"
"5321","2015-2016","666962","Impulse Learning Centre Mini School","Elementary",5,NA,NA,NA,5,NA,5,"Private"
"5322","2015-2016","886638","Innocent Hearts Academy Secondary School","Secondary",NA,NA,66,30,66,30,96,"Private"
"5323","2015-2016","667661","Innova Academy","Elementary",18,17,NA,NA,18,17,35,"Private"
"5324","2015-2016","882483","Integral High School","Secondary",NA,NA,5,NA,5,NA,5,"Private"
"5325","2015-2016","876577","International Schools for Bright &","Elem/Sec",5,5,5,5,15,12,20,"Private"
"5326","2015-2016","876402","Internationnal School of Cambridge","Elementary",43,62,NA,NA,43,62,105,"Private"
"5327","2015-2016","877280","Intola Baptist Church","Elem/Sec",5,5,5,5,5,5,20,"Private"
"5328","2015-2016","665419","Islamic Education Guidance Centre","Elementary",54,43,NA,NA,54,43,97,"Private"
"5329","2015-2016","876321","Islamic Foundation School","Elem/Sec",271,291,71,93,342,384,726,"Private"
"5330","2015-2016","667492","Islamic Foundation School - Durham","Elementary",49,49,NA,NA,49,49,98,"Private"
"5331","2015-2016","883867","Islamic Institute Al-Rashid","Elem/Sec",66,26,74,10,140,36,176,"Private"
"5332","2015-2016","880343","Islamic Institute of Toronto Academy","Elementary",132,130,NA,NA,132,130,262,"Private"
"5333","2015-2016","878375","Islamic School of Hamilton","Elementary",81,114,NA,NA,81,114,195,"Private"
"5334","2015-2016","666276","Issachar Christian Academy","Elementary",14,19,NA,NA,14,19,33,"Private"
"5335","2015-2016","666092","J Addison School","Elem/Sec",5,5,63,45,NA,NA,118,"Private"
"5336","2015-2016","887635","JIC Elementary School","Elementary",54,67,NA,NA,54,67,121,"Private"
"5337","2015-2016","887099","Jackman Institute of Child Study","Elementary",99,100,NA,NA,99,100,199,"Private"
"5338","2015-2016","886637","Jarvis District Christian School","Elementary",51,42,NA,NA,51,42,93,"Private"
"5339","2015-2016","669574","Jaya International High School","Secondary",NA,NA,5,5,5,5,10,"Private"
"5340","2015-2016","886017","Joan of Arc Academy","Elementary",NA,116,NA,NA,NA,116,116,"Private"
"5341","2015-2016","885436","John Calvin Private School","Elementary",149,136,NA,NA,149,136,285,"Private"
"5342","2015-2016","885185","John Knox Christian","Elementary",96,104,NA,NA,96,104,200,"Private"
"5343","2015-2016","886564","John Knox Christian School","Elementary",141,124,NA,NA,141,124,265,"Private"
"5344","2015-2016","886785","John Knox Christian School","Elementary",63,57,NA,NA,63,57,120,"Private"
"5345","2015-2016","886378","John Knox Memorial Christian School","Elementary",81,65,NA,NA,81,65,146,"Private"
"5346","2015-2016","882992","Jordan Christian School","Elem/Sec",35,39,5,22,NA,61,101,"Private"
"5347","2015-2016","884480","Junior Academy, The","Elementary",53,26,NA,NA,53,26,79,"Private"
"5348","2015-2016","665070","K-W Montessori School Inc., The","Elementary",5,5,NA,NA,5,5,10,"Private"
"5349","2015-2016","886258","KMSCHOOL","Elementary",12,10,NA,NA,12,10,22,"Private"
"5350","2015-2016","877697","Kanata Academy","Elem/Sec",44,34,NA,NA,44,34,78,"Private"
"5351","2015-2016","875104","Kanata Montessori Private School","Elementary",85,87,NA,NA,85,87,172,"Private"
"5352","2015-2016","876810","Kawartha Montessori","Elementary",55,48,NA,NA,55,48,103,"Private"
