"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","Enrolment","Public_Private"
"277","2017-2018","877921","Clanmore Montessori School","Elementary",91,66,NA,NA,91,66,157,"Private"
"278","2017-2018","883818","Claremont School, The","Elementary",38,27,NA,NA,38,27,65,"Private"
"279","2017-2018","669223","Clarke Christian Montessori Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"280","2017-2018","888176","Clear View Private School","Elementary",13,5,NA,NA,13,5,18,"Private"
"281","2017-2018","886246","Clearview Parochial","Elementary",18,16,NA,NA,18,16,34,"Private"
"282","2017-2018","885627","Clifford Amish Parochial #2","Elementary",10,5,NA,NA,10,5,15,"Private"
"283","2017-2018","665509","Clifford Amish Parochial No 1","Elementary",5,5,NA,NA,5,5,10,"Private"
"284","2017-2018","665597","Clinton International College","Secondary",NA,NA,18,10,18,10,28,"Private"
"285","2017-2018","667877","Clyfford Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"286","2017-2018","668898","Cobden Corner's Parchial School","Elementary",10,14,NA,NA,10,14,24,"Private"
"287","2017-2018","876682","Colin MacDonald Alternative School","Elementary",20,12,NA,NA,20,12,32,"Private"
"288","2017-2018","887552","College Park Elementary School","Elementary",94,81,NA,NA,94,81,175,"Private"
"289","2017-2018","880183","Columbia International College of Canada","Elem/Sec",5,5,972,770,NA,NA,1752,"Private"
"290","2017-2018","879061","Columbia International School of Japan","Secondary",NA,NA,28,27,28,27,55,"Private"
"291","2017-2018","669701","Columbus Private School","Elementary",16,5,NA,NA,16,5,21,"Private"
"292","2017-2018","881198","Community Christian School","Elementary",52,26,NA,NA,52,26,78,"Private"
"293","2017-2018","885380","Community Christian School","Elementary",45,61,NA,NA,45,61,106,"Private"
"294","2017-2018","669150","Community Life Christian School","Elem/Sec",5,5,NA,5,5,5,15,"Private"
"295","2017-2018","888319","Concord College of Canada","Secondary",NA,NA,10,10,10,10,20,"Private"
"296","2017-2018","877832","Corinth Christian School","Elem/Sec",21,20,5,5,NA,NA,51,"Private"
"297","2017-2018","669233","Cornell International Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"298","2017-2018","886395","Cornerstone Christian School","Elementary",43,40,NA,NA,43,40,83,"Private"
"299","2017-2018","880825","Cornerstone Christian School","Elem/Sec",12,16,5,5,NA,NA,38,"Private"
"300","2017-2018","880770","Cornerstone Montessori Prep School - Don","Elem/Sec",37,32,NA,NA,37,32,69,"Private"
"301","2017-2018","875376","Cornerstone Preparatory - Main","Elem/Sec",28,23,17,16,45,39,84,"Private"
"302","2017-2018","884921","Country Echoes Parochial School","Elementary",5,5,NA,NA,5,5,10,"Private"
"303","2017-2018","877425","Country Garden Montessori Academy","Elem/Sec",40,26,11,19,51,45,96,"Private"
"304","2017-2018","889741","Countryside Christian School","Elem/Sec",82,50,22,16,104,66,170,"Private"
"305","2017-2018","876550","Countryside Montessori Private School","Elementary",48,48,NA,NA,48,48,96,"Private"
"306","2017-2018","667731","Courtland Old Colony Christian School","Elementary",44,56,NA,NA,44,56,100,"Private"
"307","2017-2018","889318","Covenant Christian School","Elementary",59,70,NA,NA,59,70,129,"Private"
"308","2017-2018","884804","Covenant Christian School","Elementary",112,107,NA,NA,112,107,219,"Private"
"309","2017-2018","882947","Crawford Adventist Academy (East Campus)","Elementary",33,37,NA,NA,33,37,70,"Private"
"310","2017-2018","887293","Crawford Adventist Academy High School","Elem/Sec",106,112,57,53,163,165,328,"Private"
"311","2017-2018","880809","Credo Christian School","Elementary",16,18,NA,NA,16,18,34,"Private"
"312","2017-2018","878405","Creek Bank Parochial","Elementary",5,5,NA,NA,5,5,10,"Private"
"313","2017-2018","887161","Crescent School, The","Elem/Sec",357,NA,426,NA,783,NA,783,"Private"
"314","2017-2018","665266","Crestwood Preparatory College Inc.","Elem/Sec",88,35,241,163,329,198,527,"Private"
"315","2017-2018","881570","Crestwood School","Elementary",172,126,NA,NA,172,126,298,"Private"
"316","2017-2018","881305","Croton Christian Day School","Elementary",14,13,NA,NA,14,13,27,"Private"
"317","2017-2018","882866","Crown Academic International School","Secondary",NA,NA,26,21,26,21,47,"Private"
"318","2017-2018","668728","Dalton School, The","Elementary",31,32,NA,NA,31,32,63,"Private"
"319","2017-2018","889900","Darul Arqam Islamic Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"320","2017-2018","880921","Darul-Uloom Canada - Chatham","Elem/Sec",28,14,12,NA,40,14,54,"Private"
"321","2017-2018","668888","Darwin International Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"322","2017-2018","886320","Dayspring Christian School","Elem/Sec",20,19,5,5,NA,NA,49,"Private"
"323","2017-2018","886939","De La Salle College","Elem/Sec",91,110,220,233,311,343,654,"Private"
"324","2017-2018","666168","Dearcroft Montessori School","Elementary",68,76,NA,NA,68,76,144,"Private"
"325","2017-2018","666890","Debbie Campbell Learning Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"326","2017-2018","663344","Deer Lake First Nations","Elem/Sec",NA,NA,5,5,5,5,10,"Private"
"327","2017-2018","884533","Delano Academy","Elementary",31,13,NA,NA,31,13,44,"Private"
"328","2017-2018","879037","Delia School of Canada","Secondary",NA,NA,142,132,142,132,274,"Private"
"329","2017-2018","667072","Delores D. Echum Composite","Elem/Sec",NA,NA,49,50,49,50,99,"Private"
"330","2017-2018","667561","Delta Academy Inc","Secondary",NA,NA,40,89,40,89,129,"Private"
"331","2017-2018","663921","Dennis Franklin Cromarty High School","Secondary",NA,NA,38,53,38,53,91,"Private"
"332","2017-2018","669640","Deran Academy","Secondary",NA,NA,5,13,5,13,18,"Private"
"333","2017-2018","882606","Destiny Christian Academy","Elementary",24,25,NA,NA,24,25,49,"Private"
"334","2017-2018","666130","Deutsche Schule Toronto","Elementary",34,23,NA,NA,34,23,57,"Private"
"335","2017-2018","668563","Dewey College","Elem/Sec",5,5,22,12,NA,NA,44,"Private"
"336","2017-2018","882268","Diponte Academy","Secondary",NA,NA,5,NA,5,NA,5,"Private"
"337","2017-2018","884239","Discipleship Christian Secondary","Secondary",NA,NA,14,18,14,18,32,"Private"
"338","2017-2018","886754","Discovering Minds Montessori Preschool I","Elementary",19,22,NA,NA,19,22,41,"Private"
"339","2017-2018","884964","Discovery Academy Inc","Elem/Sec",26,28,108,81,134,109,243,"Private"
"340","2017-2018","666270","Don Valley Academy","Secondary",NA,NA,44,36,44,36,80,"Private"
"341","2017-2018","877166","Donegal Community Christian School","Elem/Sec",33,41,5,5,NA,NA,84,"Private"
"342","2017-2018","665274","Dragon Academy, The","Elem/Sec",11,5,30,11,41,NA,57,"Private"
"343","2017-2018","884553","Dresden Private Mennonite School","Elementary",103,88,NA,NA,103,88,191,"Private"
"344","2017-2018","887714","Dufferin Area Christian School","Elementary",57,59,NA,NA,57,59,116,"Private"
"345","2017-2018","884263","Duke Academy","Secondary",NA,NA,20,12,20,12,32,"Private"
"346","2017-2018","887951","Dunblaine School, The","Elementary",22,11,NA,NA,22,11,33,"Private"
"347","2017-2018","667206","Duncan Academy, The","Secondary",NA,NA,39,27,39,27,66,"Private"
"348","2017-2018","669699","Dundas Valley Montessori School","Elementary",56,57,NA,NA,56,57,113,"Private"
"349","2017-2018","888575","Dunnville Christian Private Elementary","Elementary",96,61,NA,NA,96,61,157,"Private"
"350","2017-2018","880448","Durham Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"351","2017-2018","887544","Durham Christian High School","Secondary",NA,NA,44,50,44,50,94,"Private"
"352","2017-2018","668038","Durham Elementary Private School","Elementary",43,36,NA,NA,43,36,79,"Private"
"353","2017-2018","884452","ELPIS COLLEGE TORONTO","Secondary",NA,NA,22,26,22,26,48,"Private"
"354","2017-2018","885122","ETON Academy","Secondary",NA,NA,16,10,16,10,26,"Private"
"355","2017-2018","885597","Eagles' Nest Christian Academy","Elem/Sec",5,5,5,NA,5,5,15,"Private"
"356","2017-2018","665297","Early Years Education System","Elementary",5,5,NA,NA,5,5,10,"Private"
"357","2017-2018","885860","East Dorking Parochial School","Elementary",21,19,NA,NA,21,19,40,"Private"
"358","2017-2018","887560","East Heidelberg Parochial School","Elementary",17,17,NA,NA,17,17,34,"Private"
"359","2017-2018","882251","Eastern Canada High School","Elem/Sec",NA,NA,13,17,13,17,30,"Private"
"360","2017-2018","886130","Eben-Ezer Christian School","Elementary",16,19,NA,NA,16,19,35,"Private"
"361","2017-2018","884292","Eben-ezer Christian School","Elem/Sec",11,5,5,5,NA,12,26,"Private"
"362","2017-2018","668010","Edelweiss Private Academy","Elementary",11,5,NA,NA,11,5,16,"Private"
"363","2017-2018","883964","Edge Hill Country School","Elementary",20,21,NA,NA,20,21,41,"Private"
"364","2017-2018","663492","Eenchokay Birchstick","Elem/Sec",NA,NA,82,62,82,62,144,"Private"
"365","2017-2018","887234","Eitz Chaim Schools - Patricia School","Elementary",374,444,NA,NA,374,444,818,"Private"
"366","2017-2018","667085","Elite Academic School","Secondary",NA,NA,5,11,5,11,16,"Private"
"367","2017-2018","669234","Elite Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"368","2017-2018","889246","Elite Montessori School","Elementary",20,16,NA,NA,20,16,36,"Private"
"369","2017-2018","666327","Ellesmere Montessori School Inc","Elementary",24,26,NA,NA,24,26,50,"Private"
"370","2017-2018","875562","Ellington Montessori School","Elementary",31,35,NA,NA,31,35,66,"Private"
"371","2017-2018","876593","Elm Creek Parochial School","Elementary",26,15,NA,NA,26,15,41,"Private"
"372","2017-2018","665568","Elmira North Parochial School","Elementary",14,15,NA,NA,14,15,29,"Private"
"373","2017-2018","886300","Elmwood School","Elem/Sec",NA,204,NA,153,NA,357,357,"Private"
"374","2017-2018","881651","Elora Road Christian School","Elementary",49,51,NA,NA,49,51,100,"Private"
"375","2017-2018","881900","Elpis College","Secondary",NA,NA,12,5,12,5,17,"Private"
"376","2017-2018","885897","Elton Academy","Secondary",NA,NA,22,22,22,22,44,"Private"
"377","2017-2018","667463","Emmanuel Christian Academy","Elementary",13,20,NA,NA,13,20,33,"Private"
"378","2017-2018","889776","Emmanuel Christian High School","Secondary",NA,NA,87,100,87,100,187,"Private"
"379","2017-2018","665827","English for International Communication","Elementary",5,5,NA,NA,5,5,10,"Private"
"380","2017-2018","889027","Erudite School","Elementary",5,5,NA,NA,5,5,10,"Private"
"381","2017-2018","875821","Ethnos Academy","Elem/Sec",18,12,5,5,NA,NA,40,"Private"
"382","2017-2018","881135","Eureka Montessori","Elementary",5,5,NA,NA,5,5,10,"Private"
"383","2017-2018","668651","Everest Academy","Elem/Sec",83,5,122,25,205,NA,235,"Private"
"384","2017-2018","669311","Excel High School","Secondary",NA,NA,17,5,17,5,22,"Private"
"385","2017-2018","665835","Exceptional Learning Centre","Elementary",5,5,NA,NA,5,5,10,"Private"
"386","2017-2018","669529","FH International High School","Secondary",NA,NA,5,5,5,5,10,"Private"
"387","2017-2018","888800","Fair Haven Christian Day School","Elem/Sec",41,42,5,5,NA,NA,93,"Private"
"388","2017-2018","667608","Fairbanks Parochial School","Elementary",5,11,NA,NA,5,11,16,"Private"
"389","2017-2018","888990","Fairview Amish Private School","Elementary",10,10,NA,NA,10,10,20,"Private"
"390","2017-2018","665812","Fairview Amish School","Elementary",14,5,NA,NA,14,5,19,"Private"
"391","2017-2018","668711","Fairview Glen Montessori","Elementary",36,42,NA,NA,36,42,78,"Private"
"392","2017-2018","882224","Faith Christian Academy","Elementary",67,68,NA,NA,67,68,135,"Private"
"393","2017-2018","889423","Faithway Baptist Church School","Elem/Sec",28,23,13,18,41,41,82,"Private"
"394","2017-2018","888931","Farewell Parochial School","Elementary",23,15,NA,NA,23,15,38,"Private"
"395","2017-2018","888664","Fellowship Christian School","Elementary",41,51,NA,NA,41,51,92,"Private"
"396","2017-2018","882178","Fern Hill","Elem/Sec",231,165,16,14,247,179,426,"Private"
"397","2017-2018","882353","Fern Hill - Burlington","Elem/Sec",85,94,5,5,NA,NA,189,"Private"
"398","2017-2018","876046","Fern Hill School","Elementary",81,58,NA,NA,81,58,139,"Private"
"399","2017-2018","883638","Fernbank Parochial School","Elementary",13,22,NA,NA,13,22,35,"Private"
"400","2017-2018","878057","Fieldstone Day School","Elementary",38,20,NA,NA,38,20,58,"Private"
"401","2017-2018","885377","Fieldstone King's College School","Secondary",NA,NA,105,60,105,60,165,"Private"
"402","2017-2018","877123","First Lutheran Christian Academy","Elementary",58,30,NA,NA,58,30,88,"Private"
"403","2017-2018","885622","Floradale Parochial School","Elementary",17,14,NA,NA,17,14,31,"Private"
"404","2017-2018","882430","Forest Hill Academy","Secondary",NA,NA,NA,5,NA,5,5,"Private"
"405","2017-2018","668055","Forest Hill Montessori School","Elementary",38,35,NA,NA,38,35,73,"Private"
"406","2017-2018","669733","Foundation Christian School","Elementary",58,37,NA,NA,58,37,95,"Private"
"407","2017-2018","669576","Foundations Montessori School","Elementary",5,5,NA,NA,5,5,10,"Private"
"408","2017-2018","668218","Four Corners Amish School","Elementary",17,17,NA,NA,17,17,34,"Private"
"409","2017-2018","877700","Four Winds Montessori School Inc.","Elementary",13,5,NA,NA,13,5,18,"Private"
"410","2017-2018","888320","Fourth Peel Parochial","Elementary",20,13,NA,NA,20,13,33,"Private"
"411","2017-2018","663048","Francine J. Wesley Secondary School","Elem/Sec",NA,NA,107,89,107,89,196,"Private"
"412","2017-2018","883086","Friendship Amish School","Elementary",15,15,NA,NA,15,15,30,"Private"
"413","2017-2018","669256","Fulford Academy","Elem/Sec",5,5,27,16,NA,NA,53,"Private"
"414","2017-2018","669447","Fulford Preparatory College","Secondary",NA,NA,25,10,25,10,35,"Private"
"415","2017-2018","883210","Fullbright Academy","Secondary",NA,NA,35,16,35,16,51,"Private"
"416","2017-2018","665356","Future School","Secondary",NA,NA,83,57,83,57,140,"Private"
"417","2017-2018","881670","Futureskills Chatham","Secondary",NA,NA,5,NA,5,NA,5,"Private"
"418","2017-2018","877786","Gap Academy","Elem/Sec",5,NA,NA,NA,5,NA,5,"Private"
"419","2017-2018","887036","Georgian Heights School","Elem/Sec",11,5,5,NA,NA,5,21,"Private"
"420","2017-2018","669627","Gibraltar Leadership Academy","Secondary",NA,NA,34,39,34,39,73,"Private"
"421","2017-2018","884820","Giles School, The","Elementary",54,59,NA,NA,54,59,113,"Private"
"422","2017-2018","883093","Glad Tidings Christian School","Elem/Sec",23,23,5,5,NA,NA,56,"Private"
"423","2017-2018","877840","Glebe Montessori School","Elementary",56,53,NA,NA,56,53,109,"Private"
"424","2017-2018","882158","Glen Briar Academy","Elementary",18,11,NA,NA,18,11,29,"Private"
"425","2017-2018","875066","Glen Meyer Old Colony School","Elementary",61,68,NA,NA,61,68,129,"Private"
"426","2017-2018","669460","GlenOak Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"427","2017-2018","883476","Glenburnie School Inc","Elementary",79,63,NA,NA,79,63,142,"Private"
"428","2017-2018","668436","Glencedar Montessori Private School","Elementary",52,46,NA,NA,52,46,98,"Private"
"429","2017-2018","669800","Glenlee Parochial School","Elementary",23,14,NA,NA,23,14,37,"Private"
"430","2017-2018","886485","Glenn Arbour Academy","Elementary",69,42,NA,NA,69,42,111,"Private"
"431","2017-2018","883977","Global Education Academy","Secondary",NA,NA,5,NA,5,NA,5,"Private"
"432","2017-2018","883502","Global Village Toronto International Aca","Secondary",NA,NA,5,5,5,5,10,"Private"
"433","2017-2018","884989","Gobind Sarvar Brampton","Elem/Sec",123,110,11,5,134,NA,249,"Private"
"434","2017-2018","665994","Goldenlink Academy","Secondary",NA,NA,5,10,5,10,15,"Private"
"435","2017-2018","885614","Goldstone Parochial School","Elementary",23,24,NA,NA,23,24,47,"Private"
"436","2017-2018","665533","Goodwin Learning Centre","Elementary",25,5,NA,NA,25,5,30,"Private"
"437","2017-2018","665206","Gospel Light Christian School","Elem/Sec",11,5,NA,5,11,5,21,"Private"
"438","2017-2018","884243","Grace Christian School","Elementary",95,93,NA,NA,95,93,188,"Private"
"439","2017-2018","668497","Gradale Academy","Elementary",14,5,NA,NA,14,5,19,"Private"
"440","2017-2018","887704","Grade Learning - Etobicoke","Secondary",NA,NA,11,5,11,5,16,"Private"
"441","2017-2018","665579","Grade Learning - Toronto Central","Secondary",NA,NA,5,5,5,5,10,"Private"
"442","2017-2018","665068","Grade Learning Newmarket","Secondary",NA,NA,5,5,5,5,10,"Private"
"443","2017-2018","885533","Grandview Adventist Academy","Elementary",34,39,NA,NA,34,39,73,"Private"
"444","2017-2018","885118","Great Lakes Christian High School","Secondary",NA,NA,83,58,83,58,141,"Private"
"445","2017-2018","889920","Great Lakes College of Toronto, The","Secondary",NA,NA,158,118,158,118,276,"Private"
"446","2017-2018","669151","Great Lyn International Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"447","2017-2018","669200","Great Moose Adventures","Elementary",10,5,NA,NA,10,5,15,"Private"
"448","2017-2018","668641","Green Apple Alternative School","Secondary",NA,NA,5,10,5,10,15,"Private"
"449","2017-2018","666793","Green High School","Secondary",NA,NA,46,34,46,34,80,"Private"
"450","2017-2018","882279","Green Path Academy Online","Secondary",NA,NA,5,5,5,5,10,"Private"
"451","2017-2018","666717","Green Road High School","Secondary",NA,NA,5,11,5,11,16,"Private"
"452","2017-2018","877891","Greenock Amish Parochial School","Elementary",10,5,NA,NA,10,5,15,"Private"
"453","2017-2018","666289","Greenwood College School","Elem/Sec",71,60,170,170,241,230,471,"Private"
"454","2017-2018","665009","Gregory School for Exceptional Learning","Elem/Sec",11,5,5,NA,NA,5,21,"Private"
"455","2017-2018","885452","Guelph Community Christian School","Elementary",129,105,NA,NA,129,105,234,"Private"
"456","2017-2018","877093","Guelph Montessori School","Elementary",28,25,NA,NA,28,25,53,"Private"
