School Number,School Name,School Level,Public_Private,Enrolment,Academic Year
497134,É Élém Gabrielle-Roy,Elementary,Public,264,2014-2015
156264,É Élém Georges-P-Vanier,Elementary,Public,56,2014-2015
165417,É Élém Horizon Jeunesse,Elementary,Public,310,2014-2015
282260,É Élém Jeanne-Lajoie,Elementary,Public,466,2014-2015
156183,É Élém Jeunes sans frontières,Elementary,Public,172,2014-2015
165395,É Élém L'Envolée,Elementary,Public,229,2014-2015
156256,É Élém L'Harmonie,Elementary,Public,296,2014-2015
419354,É Élém L'Héritage,Elementary,Public,142,2014-2015
165450,É Élém L'Odyssée,Elementary,Public,126,2014-2015
302481,É Élém La Fontaine,Elementary,Public,147,2014-2015
019735,É Élém La Mosaïque,Elementary,Public,400,2014-2015
032247,É Élém La Source,Elementary,Public,361,2014-2015
165000,É Élém LaMarsh,Elementary,Public,155,2014-2015
309192,É Élém Laure-Rièse,Elementary,Public,193,2014-2015
442869,É Élém Le Caron,Elementary,Public,28,2014-2015
311090,É Élém Les Rapides,Elementary,Public,164,2014-2015
480785,É Élém Louise-Charron,Elementary,Public,78,2014-2015
328910,É Élém Maison Montessori,Elementary,Public,170,2014-2015
010340,É Élém Marie-Curie,Elementary,Public,499,2014-2015
298572,É Élém Michel-Gratton,Elementary,Public,59,2014-2015
232544,É Élém Norval-Morrisseau,Elementary,Public,54,2014-2015
164941,É Élém Nouvel Horizon,Elementary,Public,151,2014-2015
619655,É Élém Patricia-Picknell,Elementary,Public,257,2014-2015
165484,É Élém Pavillon de la jeunesse,Elementary,Public,233,2014-2015
165476,É Élém Pierre-Elliott-Trudeau,Elementary,Public,332,2014-2015
165425,É Élém Renaissance,Elementary,Public,208,2014-2015
412543,É Élém Roméo Dallaire,Elementary,Public,71,2014-2015
298133,É Élém Ronald-Marion,Elementary,Public,309,2014-2015
588462,É Élém Toronto Ouest,Elementary,Public,109,2014-2015
629646,É Élém des Quatre-Rivières,Elementary,Public,130,2014-2015
426502,É Élém du Chêne,Elementary,Public,121,2014-2015
572312,É Élém École élémentaire Gaetan-Gervais,Elementary,Public,54,2014-2015
186910,É Élém Étienne-Brûlé,Elementary,Public,164,2014-2015
530476,ÉP Saint-Joseph,Elementary,Public,162,2014-2015
907553,ÉS Confédération,Secondary,Public,66,2014-2015
909858,ÉS Franco-Jeunesse,Secondary,Public,18,2014-2015
910554,ÉS Gabriel-Dumont,Secondary,Public,103,2014-2015
914723,ÉS Gaétan Gervais,Secondary,Public,65,2014-2015
907308,ÉS Georges-P-Vanier,Secondary,Public,103,2014-2015
907642,ÉS Jeunes sans frontières,Secondary,Public,271,2014-2015
934852,ÉS Le Caron,Secondary,Public,146,2014-2015
961008,ÉS Michel-Gratton,Secondary,Public,77,2014-2015
896889,ÉS Norval-Morrisseau,Secondary,Public,48,2014-2015
925326,ÉS Roméo Dallaire,Secondary,Public,152,2014-2015
901037,ÉS Ronald-Marion,Secondary,Public,56,2014-2015
952803,ÉS Toronto Ouest,Secondary,Public,105,2014-2015
907588,ÉS Étienne-Brûlé,Secondary,Public,313,2014-2015
164925,ÉP Villa Française des Jeunes,Elementary,Public,5,2014-2015
138720,ÉP de la Rivière-des-Français,Elementary,Public,22,2014-2015
912573,ÉS Château-Jeunesse,Secondary,Public,25,2014-2015
924792,ÉS Cité-Supérieure,Secondary,Public,16,2014-2015
907448,ÉS Hanmer,Secondary,Public,84,2014-2015
907570,ÉS Macdonald-Cartier,Secondary,Public,325,2014-2015
