"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","total"
"1800","2018-2019","886258","KMSCHOOL","Elementary",20,15,NA,NA,20,15,35
"1801","2018-2019","882944","KNB Learning","Elementary",5,5,NA,NA,NA,NA,10
"1802","2018-2019","883736","Kaban Montessori School","Elementary",5,5,NA,NA,NA,NA,10
"1803","2018-2019","877697","Kanata Academy","Elem/Sec",45,45,15,5,60,NA,110
"1804","2018-2019","883130","Kanata Montessori High School","Secondary",NA,NA,40,20,40,20,60
"1805","2018-2019","875104","Kanata Montessori Private School","Elementary",95,105,NA,NA,95,105,200
"1806","2018-2019","876810","Kawartha Montessori","Elementary",55,45,NA,NA,55,45,100
"1807","2018-2019","663905","Kawenni:io/Gaweni:yo High School","Elem/Sec",NA,NA,5,5,NA,NA,10
"1808","2018-2019","884987","Kayla's Children Centre","Elem/Sec",45,25,5,NA,NA,25,75
"1809","2018-2019","663930","Keewaytinook Internet","Secondary",NA,NA,100,110,100,110,210
"1810","2018-2019","878529","Kehila Jewish Community Day School","Elementary",10,10,NA,NA,10,10,20
"1811","2018-2019","878588","Kempenfelt Bay School","Elementary",60,65,NA,NA,60,65,125
"1812","2018-2019","668625","Kendalwood Montessori","Elementary",45,40,NA,NA,45,40,85
"1813","2018-2019","665767","Kendelhurst Academy","Elementary",70,50,NA,NA,70,50,120
"1814","2018-2019","876569","Kenilworth Krest Parochial School","Elementary",15,10,NA,NA,15,10,25
"1815","2018-2019","663654","Kenjgewin Teg","Secondary",NA,NA,5,10,NA,10,15
"1816","2018-2019","666491","Kennedy Montessori Private School","Elementary",5,10,NA,NA,NA,10,15
"1817","2018-2019","666114","Kent International Academy","Secondary",NA,NA,NA,5,NA,NA,5
"1818","2018-2019","667656","Kent School","Secondary",NA,NA,55,25,55,25,80
"1819","2018-2019","878863","Kew Park Montessori Day School","Elementary",50,40,NA,NA,50,40,90
"1820","2018-2019","888468","Keystone International Schools","Secondary",NA,NA,15,5,15,NA,20
"1821","2018-2019","882370","Keystone Montessori School","Elementary",20,5,NA,NA,20,NA,25
"1822","2018-2019","665365","Khairul Ummah School","Elem/Sec",120,175,NA,50,120,225,345
"1823","2018-2019","877352","Khalsa Community School","Elem/Sec",525,470,40,40,565,515,1075
"1824","2018-2019","666932","Khalsa School Malton","Elem/Sec",175,145,NA,NA,175,145,320
"1825","2018-2019","877581","KinderKollege Elementary School","Elementary",5,5,NA,NA,NA,NA,10
"1826","2018-2019","885630","King Christian School","Elementary",55,60,NA,NA,55,60,115
"1827","2018-2019","889823","King Heights Academy - Thornhill","Elementary",55,45,NA,NA,55,45,100
"1828","2018-2019","667767","King's Academy","Secondary",NA,NA,5,5,NA,NA,10
"1829","2018-2019","889241","King's Academy","Elementary",5,5,NA,NA,NA,NA,10
"1830","2018-2019","665398","King's Christian Collegiate","Secondary",NA,NA,340,325,340,325,665
"1831","2018-2019","669248","King's College Preparatory School Canada","Elementary",5,5,NA,NA,NA,NA,10
"1832","2018-2019","876577","King's College School for Bright and Gif","Elem/Sec",10,10,15,15,25,25,50
"1833","2018-2019","884720","King's Town Private School","Elementary",35,45,NA,NA,35,45,80
"1834","2018-2019","881511","Kingsley Primary School","Elementary",5,15,NA,NA,NA,15,20
"1835","2018-2019","885657","Kingston Christian School","Elementary",55,40,NA,NA,55,40,95
"1836","2018-2019","666341","Kingsway Academy","Secondary",NA,NA,5,5,NA,NA,10
"1837","2018-2019","885959","Kingsway College Private High School","Secondary",NA,NA,120,150,120,150,270
"1838","2018-2019","884812","Kingsway College School","Elementary",205,175,NA,NA,205,175,380
"1839","2018-2019","669857","Kisomo International Collegiate","Elem/Sec",5,NA,25,25,NA,25,55
"1840","2018-2019","887676","Kitchener Waterloo Bilingual School","Elementary",165,195,NA,NA,165,195,360
"1841","2018-2019","881708","Kleinburg Christian School","Elementary",70,55,NA,NA,70,55,125
"1842","2018-2019","886945","Knowledge Catalyst Education of Excellen","Secondary",NA,NA,10,5,10,NA,15
"1843","2018-2019","667863","Knox Bridge School","Secondary",NA,NA,15,5,15,NA,20
"1844","2018-2019","885177","Knox Christian School","Elementary",105,85,NA,NA,105,85,190
"1845","2018-2019","876763","Koinonia Christian Academy","Elementary",55,45,NA,NA,55,45,100
"1846","2018-2019","665452","La Citadelle International Academy","Elem/Sec",50,65,20,20,70,85,155
"1847","2018-2019","884134","La Maison Montessori House","Elementary",25,25,NA,NA,25,25,50
"1848","2018-2019","667731","La Salette Courtland Old Colony Christia","Elementary",50,50,NA,NA,50,50,100
"1849","2018-2019","887609","Lakedale Amish Parochial","Elementary",10,20,NA,NA,10,20,30
"1850","2018-2019","885371","Lakefield College School","Secondary",NA,NA,170,180,170,180,350
"1851","2018-2019","878359","Lakelet Parochial School","Elementary",10,5,NA,NA,10,NA,15
"1852","2018-2019","880729","Lakeshore School","Elementary",35,25,NA,NA,35,25,60
"1853","2018-2019","669546","Lakeside Parochial School","Elementary",5,10,NA,NA,NA,10,15
"1854","2018-2019","887889","Lakeview Christian School","Elem/Sec",15,10,5,5,NA,NA,35
"1855","2018-2019","880256","Lakeview Montessori School","Elementary",90,60,NA,NA,90,60,150
"1856","2018-2019","666076","Langside Parochial","Elementary",15,5,NA,NA,15,NA,20
"1857","2018-2019","885783","Laureate International College","Secondary",NA,NA,5,5,NA,NA,10
"1858","2018-2019","887897","Laurentian Hills Christian School","Elementary",180,185,NA,NA,180,185,365
"1859","2018-2019","889281","Le Cercle des savoirs","Elem/Sec",5,5,5,15,15,NA,30
"1860","2018-2019","880502","Leahurst College","Elem/Sec",25,35,20,40,45,70,120
"1861","2018-2019","885331","Learning Genius Academy Inc","Secondary",NA,NA,30,15,30,15,45
"1862","2018-2019","878332","Lee Academy Private Elementary School","Elementary",70,90,NA,NA,70,90,160
"1863","2018-2019","668869","Legends Learning Center","Secondary",NA,NA,5,5,NA,NA,10
"1864","2018-2019","876860","Lennox & Addington Cornerstone Christian","Elementary",15,30,NA,NA,15,30,45
"1865","2018-2019","886769","Leo Baeck Day School, The","Elementary",365,300,NA,NA,365,300,665
"1866","2018-2019","882909","Leonardo Da Vinci Academy of Arts and","Elementary",30,45,NA,NA,30,45,75
"1867","2018-2019","669348","Leslie Academy","Secondary",NA,NA,5,NA,NA,NA,5
"1868","2018-2019","884663","Liberal High School","Secondary",NA,NA,5,5,NA,NA,10
"1869","2018-2019","666744","Liberty Prep School","Elementary",15,25,NA,NA,15,25,40
"1870","2018-2019","881789","Lighthouse Christian School","Elem/Sec",15,20,5,5,NA,NA,45
"1871","2018-2019","877158","Lilac Grove School","Elementary",5,10,NA,NA,NA,10,15
"1872","2018-2019","883704","Linbrook School","Elementary",170,NA,NA,NA,170,NA,170
"1873","2018-2019","886947","Lindale Parochial School","Elementary",25,5,NA,NA,25,NA,30
"1874","2018-2019","876186","Linden School, The","Elem/Sec",NA,75,NA,35,NA,110,110
"1875","2018-2019","665758","Link On Learning","Elementary",75,100,NA,NA,75,100,175
"1876","2018-2019","888923","Listowel Christian School","Elementary",80,55,NA,NA,80,55,135
"1877","2018-2019","665757","Little Country School, The","Elementary",5,5,NA,NA,NA,NA,10
"1878","2018-2019","889201","Little Owl Preschool Elementary","Elementary",25,20,NA,NA,25,20,45
"1879","2018-2019","669606","Living Gospel Mission School","Elementary",25,25,NA,NA,25,25,50
"1880","2018-2019","885596","Living Hope Christian School","Elem/Sec",5,5,NA,5,NA,10,15
"1881","2018-2019","883879","Living Hope Christian School","Elem/Sec",15,35,NA,NA,15,35,50
"1882","2018-2019","883156","Lodestar Montessori School","Elementary",5,5,NA,NA,NA,NA,10
"1883","2018-2019","669329","Lolart School","Secondary",NA,NA,5,10,NA,10,15
"1884","2018-2019","887684","London Christian Academy","Elementary",95,100,NA,NA,95,100,195
"1885","2018-2019","885746","London Christian Elementary School","Elementary",85,75,NA,NA,85,75,160
"1886","2018-2019","885738","London Christian High","Secondary",NA,NA,115,95,115,95,210
"1887","2018-2019","887404","London Community Hebrew Day School","Elementary",25,20,NA,NA,25,20,45
"1888","2018-2019","666947","London International Academy","Secondary",NA,NA,180,95,180,95,275
"1889","2018-2019","877557","London Islamic School","Elementary",110,130,NA,NA,110,130,240
"1890","2018-2019","881120","London Waldorf School","Elementary",70,65,NA,NA,70,65,135
"1891","2018-2019","885067","Lote tree Foundation","Elementary",50,40,NA,NA,50,40,90
"1892","2018-2019","883339","Lowell Academy","Secondary",NA,NA,20,10,20,10,30
"1893","2018-2019","666858","Lutherwood Parochial School","Elementary",20,15,NA,NA,20,15,35
"1894","2018-2019","888117","Lycée Claudel","Elem/Sec",340,330,140,130,480,460,940
"1895","2018-2019","663573","Lydia Lois Beardy Memorial","Elem/Sec",NA,NA,5,15,NA,15,20
"1896","2018-2019","668587","Lynden School","Secondary",NA,NA,5,5,NA,NA,10
"1897","2018-2019","668419","Lynedoch Christian School","Elem/Sec",15,20,5,5,NA,NA,45
"1898","2018-2019","667127","Lynn-Rose College","Elem/Sec",40,35,20,10,60,45,105
"1899","2018-2019","878014","Lynn-Rose Heights Private School - Elem","Elementary",120,95,NA,NA,120,95,215
"1900","2018-2019","668747","Lyonsgate Montessori School","Elementary",25,25,NA,NA,25,25,50
"1901","2018-2019","880155","MAC Al-Furqan School","Elementary",15,10,NA,NA,15,10,25
"1902","2018-2019","665027","MAC Maple Grove School","Elementary",105,110,NA,NA,105,110,215
"1903","2018-2019","669650","MAC Niagara Islamic School","Elementary",45,60,NA,NA,45,60,105
"1904","2018-2019","881090","Mabin School, The","Elementary",90,60,NA,NA,90,60,150
"1905","2018-2019","885144","MacKenzie Academy","Secondary",NA,NA,5,NA,NA,NA,5
"1906","2018-2019","881298","MacLachlan College","Elem/Sec",125,115,50,35,175,150,325
"1907","2018-2019","875341","Macdonald-Cartier Academy","Elementary",15,40,NA,NA,15,40,55
"1908","2018-2019","887722","Macton Parochial School","Elementary",15,20,NA,NA,15,20,35
"1909","2018-2019","668301","Madaniyya Academy","Elementary",65,70,NA,NA,65,70,135
"1910","2018-2019","667977","Madina Academy","Secondary",NA,NA,5,10,NA,10,15
"1911","2018-2019","666544","Madinah Islamic School","Elementary",40,30,NA,NA,40,30,70
"1912","2018-2019","882911","Madinatul Uloom Academy - Scarborough","Elem/Sec",65,NA,55,NA,115,NA,120
"1913","2018-2019","666972","Madinatul Uloom Academy Inc","Elementary",65,95,NA,NA,65,95,160
"1914","2018-2019","877492","Madinatul-Uloom Academy","Elem/Sec",NA,110,NA,90,NA,195,200
"1915","2018-2019","876259","Madresatul Banaat Almuslimaat","Elem/Sec",15,90,NA,55,15,140,160
"1916","2018-2019","668504","Magnificent Minds","Elementary",15,5,NA,NA,15,NA,20
"1917","2018-2019","665700","Maingate Islamic Academy","Elementary",90,80,NA,NA,90,80,170
"1918","2018-2019","669285","Makki Islamic Learning Centre","Elementary",140,170,NA,NA,140,170,310
"1919","2018-2019","883812","Malvern Montessori School","Elementary",15,5,NA,NA,15,NA,20
"1920","2018-2019","667528","Mamawmatawa Holistic Education Centre","Secondary",NA,NA,10,5,10,NA,15
"1921","2018-2019","877859","Manor Montessori School","Elementary",5,5,NA,NA,NA,NA,10
"1922","2018-2019","665008","Maple Crest Early School Ltd.","Elementary",20,15,NA,NA,20,15,35
"1923","2018-2019","885665","Maple Drive Parochial","Elementary",15,20,NA,NA,15,20,35
"1924","2018-2019","877905","Maple Grove Amish Parochial School","Elementary",10,5,NA,NA,10,NA,15
"1925","2018-2019","887730","Maple Grove Parochial","Elementary",20,15,NA,NA,20,15,35
"1926","2018-2019","665776","Maple Grove Parochial School","Elementary",10,15,NA,NA,10,15,25
"1927","2018-2019","885156","Maple Lane","Elementary",5,5,NA,NA,NA,NA,10
"1928","2018-2019","888206","Maple Lane Private","Elementary",10,10,NA,NA,10,10,20
"1929","2018-2019","884710","Maple Leaf Collegiate","Secondary",NA,NA,30,15,30,15,45
"1930","2018-2019","879177","Maple Leaf International School","Secondary",NA,NA,70,85,70,85,155
"1931","2018-2019","884375","Maple Leaf Montessori School Inc","Elementary",40,35,NA,NA,40,35,75
"1932","2018-2019","883140","Maple View Parochial School","Elementary",10,10,NA,NA,10,10,20
"1933","2018-2019","883498","Mapleton Meadow Parochial School","Elementary",25,15,NA,NA,25,15,40
"1934","2018-2019","889717","Mapleview","Elem/Sec",15,15,5,NA,NA,15,35
"1935","2018-2019","883590","Maranatha Christian Academy","Elem/Sec",105,90,60,45,165,130,300
"1936","2018-2019","877646","Maranatha Christian Academy","Elementary",20,30,NA,NA,20,30,50
"1937","2018-2019","882271","Maranatha Christian Day School","Elem/Sec",30,30,10,5,40,NA,75
"1938","2018-2019","888338","Maranatha Christian School","Elementary",120,110,NA,NA,120,110,230
"1939","2018-2019","666556","March Academy Private School","Elementary",15,10,NA,NA,15,10,25
"1940","2018-2019","666030","Marco Polo Academy","Secondary",NA,NA,5,NA,NA,NA,5
"1941","2018-2019","884740","Maria Montessori School Inc.","Elementary",50,50,NA,NA,50,50,100
"1942","2018-2019","668779","Marigold Hollow Parochial School","Elementary",15,5,NA,NA,15,NA,20
"1943","2018-2019","880032","Mariyah Islamic School","Elementary",5,10,NA,NA,NA,10,15
"1944","2018-2019","881380","Markham International College","Secondary",NA,NA,5,5,NA,NA,10
"1945","2018-2019","884125","Markham Waterloo Continuing Education","Secondary",NA,NA,75,NA,75,NA,75
"1946","2018-2019","881803","Markville Montessori Private School","Elem/Sec",10,5,NA,NA,10,NA,15
"1947","2018-2019","884618","Marlborough Academy","Elem/Sec",5,5,5,NA,NA,NA,15
"1948","2018-2019","876160","Mary, Mother of God School","Elem/Sec",25,25,5,5,NA,NA,60
"1949","2018-2019","668870","Maryvale Academy of Ottawa","Elementary",40,35,NA,NA,40,35,75
"1950","2018-2019","888751","Matawa Education & Care Centre","Secondary",NA,NA,55,50,55,50,105
"1951","2018-2019","665181","Matrix Academy","Elementary",5,5,NA,NA,NA,NA,10
"1952","2018-2019","885754","Matthews Hall","Elementary",120,95,NA,NA,120,95,215
"1953","2018-2019","669808","McCanny Secondary School","Secondary",NA,NA,15,5,15,NA,20
"1954","2018-2019","876674","McDonald International Academy","Secondary",NA,NA,105,90,105,90,195
"1955","2018-2019","886037","McDonald International Academy-North Yo","Secondary",NA,NA,5,5,NA,NA,10
"1956","2018-2019","668558","McIntosh Valley","Elementary",5,5,NA,NA,NA,NA,10
"1957","2018-2019","665168","Meadow Cress School","Elementary",5,5,NA,NA,NA,NA,10
"1958","2018-2019","877409","Meadow Green Academy","Elementary",30,30,NA,NA,30,30,60
"1959","2018-2019","881969","Meadow Green Academy - Lakeshore","Elem/Sec",25,25,5,5,NA,NA,60
"1960","2018-2019","668775","Meadow View Private","Elementary",10,5,NA,NA,10,NA,15
"1961","2018-2019","884428","Meezan School","Elementary",30,40,NA,NA,30,40,70
"1962","2018-2019","882291","Mentor College","Elem/Sec",280,210,365,250,645,460,1105
"1963","2018-2019","667590","Mentor College Primary Campus","Elementary",155,135,NA,NA,155,135,290
"1964","2018-2019","668578","Merit College","Secondary",NA,NA,5,5,NA,NA,10
"1965","2018-2019","669447","Merrick Preparatory School","Secondary",NA,NA,20,5,20,NA,25
"1966","2018-2019","882521","Mesivta Ohr Temimim Lubavitch","Secondary",NA,NA,25,NA,25,NA,25
"1967","2018-2019","877654","Metamorphosis Greek Orthodox School","Elementary",155,140,NA,NA,155,140,295
"1968","2018-2019","886696","Metro International Secondary Academy","Secondary",NA,NA,70,60,70,60,130
"1969","2018-2019","884742","Metropolitan Bible Baptist Christian Aca","Elem/Sec",10,5,5,5,NA,15,25
"1970","2018-2019","665539","Metropolitan College","Secondary",NA,NA,5,5,NA,NA,10
"1971","2018-2019","882070","Metropolitan Preparatory Academy","Elem/Sec",5,5,145,75,NA,NA,230
"1972","2018-2019","665576","Middlebrook Parochial School","Elementary",20,15,NA,NA,20,15,35
"1973","2018-2019","663375","Migizi Miigwanan Secondary School","Secondary",NA,NA,25,15,25,15,40
"1974","2018-2019","663697","Mikinaak Onigaming School","Elem/Sec",NA,NA,15,15,15,15,30
"1975","2018-2019","887964","Mildenhall School, The","Elementary",50,35,NA,NA,50,35,85
"1976","2018-2019","886543","Milton Christian School","Elementary",65,65,NA,NA,65,65,130
"1977","2018-2019","884557","Milton Prep Academy","Secondary",NA,NA,15,5,15,NA,20
"1978","2018-2019","666408","MindTech Academic Schools, Inc","Elementary",130,85,NA,NA,130,85,215
"1979","2018-2019","666635","Mindtech Montessori Schools","Elementary",45,40,NA,NA,45,40,85
"1980","2018-2019","668579","Mindview Academy","Elem/Sec",5,NA,5,5,NA,NA,15
"1981","2018-2019","665135","Mindware Academy","Elementary",30,15,NA,NA,30,15,45
"1982","2018-2019","883933","Mindwerx4kids Learning Centre","Elementary",25,5,NA,NA,25,NA,30
"1983","2018-2019","875180","Minto Meadow Parochial School","Elementary",20,20,NA,NA,20,20,40
"1984","2018-2019","665790","Missing Links Academy","Elementary",20,5,NA,NA,20,NA,25
"1985","2018-2019","665312","Mississauga Children Montessori, The","Elementary",40,40,NA,NA,40,40,80
"1986","2018-2019","880647","Mississauga Christian Academy","Elementary",60,85,NA,NA,60,85,145
"1987","2018-2019","666192","Mississauga Christian French School","Elementary",25,35,NA,NA,25,35,60
"1988","2018-2019","668852","Mississauga First Nation Adult Education","Secondary",NA,NA,5,5,NA,NA,10
"1989","2018-2019","667051","Mississauga Secondary Academy","Secondary",NA,NA,35,20,35,20,55
"1990","2018-2019","663719","Mizhakiiwetung Memorial","Elem/Sec",NA,NA,60,60,60,60,120
"1991","2018-2019","886955","Montcrest School","Elementary",200,135,NA,NA,200,135,335
"1992","2018-2019","887919","Montessori Academy of London","Elementary",185,155,NA,NA,185,155,340
"1993","2018-2019","882780","Montessori Country School-Nobleton, The","Elementary",60,50,NA,NA,60,50,110
"1994","2018-2019","665711","Montessori Jewish Day School","Elementary",45,35,NA,NA,45,35,80
"1995","2018-2019","668375","Montessori Leaders School","Elementary",5,5,NA,NA,NA,NA,10
"1996","2018-2019","882917","Montessori Learning Centre","Elementary",75,50,NA,NA,75,50,125
"1997","2018-2019","666708","Montessori School of Elora","Elementary",5,5,NA,NA,NA,NA,10
"1998","2018-2019","666440","Montessori School of Kleinburg","Elementary",85,65,NA,NA,85,65,150
"1999","2018-2019","669398","Montessori School of Milton Inc","Elementary",15,15,NA,NA,15,15,30
"2000","2018-2019","877301","Moose Factory Academy","Elementary",20,30,NA,NA,20,30,50
"2001","2018-2019","888583","Morning Star Christian School","Elem/Sec",10,5,5,NA,NA,NA,20
"2002","2018-2019","884227","Mount Salem Christian School","Elementary",85,95,NA,NA,85,95,180
"2003","2018-2019","882392","Mount Sinai Education","Elem/Sec",20,20,15,5,35,NA,60
"2004","2018-2019","665100","Mulberry Waldorf School","Elementary",45,30,NA,NA,45,30,75
"2005","2018-2019","664875","Mundo Peetabeck Academy","Elem/Sec",NA,NA,30,20,30,20,50
"2006","2018-2019","880043","Muskoka Christian School","Elementary",40,25,NA,NA,40,25,65
"2007","2018-2019","878537","Muskoka Montessori School","Elementary",30,35,NA,NA,30,35,65
"2008","2018-2019","667013","NOIC Academy","Secondary",NA,NA,135,95,135,95,230
"2009","2018-2019","885523","NT Private High School","Secondary",NA,NA,5,5,NA,NA,10
"2010","2018-2019","876623","Nancy Campbell Academy","Secondary",NA,NA,35,45,35,45,80
"2011","2018-2019","879482","Nanjing-Bond International College","Secondary",NA,NA,100,105,100,105,205
"2012","2018-2019","884949","National Ski Academy","Secondary",NA,NA,10,15,10,15,25
