"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","total"
"1785","2018-2019","887635","JIC  School","Elementary",35,45,NA,NA,35,45,80
"1786","2018-2019","887099","Jackman Institute of Child Study","Elementary",100,100,NA,NA,100,100,200
"1787","2018-2019","886637","Jarvis District Christian School","Elementary",75,75,NA,NA,75,75,150
"1788","2018-2019","886269","Jasper Academy","Secondary",NA,NA,5,NA,NA,NA,5
"1789","2018-2019","669574","Jaya International High School","Secondary",NA,NA,20,5,20,NA,25
"1790","2018-2019","669996","Jehovah Jireh Christian School","Elementary",5,5,NA,NA,NA,NA,10
"1791","2018-2019","886017","Joan of Arc Academy","Elementary",NA,100,NA,NA,NA,100,100
"1792","2018-2019","885436","John Calvin Private School","Elementary",165,160,NA,NA,165,160,325
"1793","2018-2019","885185","John Knox Christian","Elementary",90,100,NA,NA,90,100,190
"1794","2018-2019","886785","John Knox Christian School","Elementary",70,85,NA,NA,70,85,155
"1795","2018-2019","886564","John Knox Christian School","Elementary",180,155,NA,NA,180,155,335
"1796","2018-2019","882992","Jordan Christian School","Elem/Sec",50,60,10,20,60,80,140
"1797","2018-2019","884480","Junior Academy, The","Elementary",55,20,NA,NA,55,20,75
"1798","2018-2019","665070","K-W Montessori School Inc., The","Elementary",25,30,NA,NA,25,30,55
"1799","2018-2019","887265","KCS Online Learning","Secondary",NA,NA,5,NA,NA,NA,5
